DistrictID,DistrictT,DistrictE,DistrictCode,AmphurCode,DistrictOther
1,-,-,NULL,NULL,NULL
2," ทับมา"," ทับมา",NULL,NULL,NULL
3," บอวิน"," บอวิน",NULL,NULL,NULL
4," บ้านเหล่า"," บ้านเหล่า",NULL,NULL,NULL
5,Banbung,Banbung,NULL,NULL,NULL
6,Banglamung,Banglamung,NULL,NULL,NULL
7,Borwin,Borwin,NULL,NULL,NULL
8,Bowin,Bowin,NULL,NULL,NULL
9,Bung,Bung,NULL,NULL,NULL
10,Khlong Tamru,Khlong Tamru,NULL,NULL,NULL
11,Klongthanon,Klongthanon,NULL,NULL,NULL
12,Naklua,Naklua,NULL,NULL,NULL
13,Napa,Napa,NULL,NULL,NULL
14,Nongkham,Nongkham,NULL,NULL,NULL
15,Nongprue,Nongprue,NULL,NULL,NULL
16,Nonmung,Nonmung,NULL,NULL,NULL
17,Rongjig,Rongjig,NULL,NULL,NULL
18,Samed,Samed,NULL,NULL,NULL
19,Surasak,Surasak,NULL,NULL,NULL
20,T.SURASAK,T.SURASAK,NULL,NULL,NULL
21,เเกใหญ่,เเกใหญ่,NULL,NULL,NULL
22,เเสงภา,เเสงภา,NULL,NULL,NULL
23,เเสนสุข,เเสนสุข,NULL,NULL,NULL
24,เกาะแต้ว,เกาะแต้ว,NULL,NULL,NULL
25,เกาะจันทร์,เกาะจันทร์,NULL,NULL,NULL
26,เกาะตาเลี้ยง,เกาะตาเลี้ยง,NULL,NULL,NULL
27,เขวา,เขวา,NULL,NULL,NULL
28,เขาแก้ว,เขาแก้ว,NULL,NULL,NULL
29,เขาคันทรง,เขาคันทรง,NULL,NULL,NULL
30,เขาทอง,เขาทอง,NULL,NULL,NULL
31,เขาสามยอด,เขาสามยอด,NULL,NULL,NULL
32,เขือน้ำ,เขือน้ำ,NULL,NULL,NULL
33,เจดีย์ชัย,เจดีย์ชัย,NULL,NULL,NULL
34,เจ้าท่า,เจ้าท่า,NULL,NULL,NULL
35,เชียงเครือ,เชียงเครือ,NULL,NULL,NULL
36,"เชียงแหว ","เชียงแหว ",NULL,NULL,NULL
37,เชียงกลาง,เชียงกลาง,NULL,NULL,NULL
38,เด่นเหล็ก,เด่นเหล็ก,NULL,NULL,NULL
39,เต่างอย,เต่างอย,NULL,NULL,NULL
40,เทนมีย์,เทนมีย์,NULL,NULL,NULL
41,เนินมะกอก,เนินมะกอก,NULL,NULL,NULL
42,เป็นสุข,เป็นสุข,NULL,NULL,NULL
43,เปือยน้อย,เปือยน้อย,NULL,NULL,NULL
44,เพี้ยราม,เพี้ยราม,NULL,NULL,NULL
45,เมือง,เมือง,NULL,NULL,NULL
46,เมืองเก่า,เมืองเก่า,NULL,NULL,NULL
47,เมืองเดช,เมืองเดช,NULL,NULL,NULL
48,เมืองปาน,เมืองปาน,NULL,NULL,NULL
49,เมืองพาน,เมืองพาน,NULL,NULL,NULL
50,เลิงใต้,เลิงใต้,NULL,NULL,NULL
51,เวินพระบาท,เวินพระบาท,NULL,NULL,NULL
